x_position,y_position,x_velocity,y_velocity,x_force,y_force,x_acceleration,y_acceleration
-2.7726025635484794e-13,1.60036665384879e-14,15159829.096768023,2444.358991931857,-0.4033192336687563,0.02151035912900034,-6.110897479829641e+25,3.2591453225758094e+24
-2.5473843610462647e-13,1.6019308529083786e-14,15060378.564579688,7983.634738659855,-0.4718454495886022,0.027235267442206047,-7.149173478615185e+25,4.126555673061522e+24
-2.32403914445875e-13,1.6046554771708413e-14,14943299.906923927,15069.244994954017,-0.5584467377820875,0.035118102813182575,-8.461314208819508e+25,5.320924668664026e+24
-2.1029357022718758e-13,1.60890175701703e-14,14803689.335691072,24317.838806425847,-0.6701262890670439,0.04626952272776956,-1.0153428622227937e+26,7.010533746631752e+24
-1.8845577081145537e-13,1.6151924169120327e-14,14634683.658488184,36679.83232337744,-0.8171236703183637,0.06251602022140446,-1.238066167149036e+26,9.472124275970372e+24
-1.6695535707833129e-13,1.6243087474939115e-14,14426464.117952237,53671.44400554741,-1.0152082863979743,0.08701016258169122,-1.5381943733302642e+26,1.3183357966922913e+25
-1.4588154697415668e-13,1.6374640794043584e-14,14164571.314116172,77814.6942611215,-1.2894483873593978,0.12545043966736077,-1.9537096778172695e+26,1.9007642373842542e+25
-1.25360819988404e-13,1.656629363601375e-14,13827012.883004742,113512.82953306298,-1.6810658064212005,0.1886931507257242,-2.5470694036684855e+26,2.8589871322079424e+25
-1.055786465528356e-13,1.6851801148802864e-14,13379145.828987412,168895.93836784858,-2.2601642689313,0.2986782070203891,-3.4244913165625754e+26,4.525427379096805e+25
-8.68172347788057e-14,1.729264724952987e-14,12764444.698095454,259956.69514144555,-3.1492056829179322,0.5026564525872641,-4.771523761996867e+26,7.61600685738279e+25
-6.952182534916138e-14,1.8008841212871532e-14,11888137.23524598,420342.59079740295,-4.5622999901574275,0.9087394291851609,-6.912575742662768e+26,1.3768779230078197e+26
-5.4411220761505474e-14,1.9251262108403502e-14,10592179.572470313,725014.7527957277,-6.842127442268445,1.7723755964000965,-1.0366859761012795e+27,2.6854175703031765e+26
-4.261398262725257e-14,2.1565174659580052e-14,8642339.90491123,1341202.0496782963,-10.316461632251494,3.6500726161665087,-1.5631002473108325e+27,5.5304130547977405e+26
-3.559804121436162e-14,2.605134323503276e-14,5849619.460743761,2575998.071191973,-14.259478276422232,7.216132373153848,-2.1605270115791262e+27,1.0933533898717952e+27
-3.426170067037021e-14,3.426121342156954e-14,2511288.9546786137,4653231.748620673,-15.117830176951065,11.063523988218714,-2.2905803298410705e+27,1.6762915133664717e+27
-3.7520103126363376e-14,4.688422047969497e-14,-454333.0566146397,7158119.403725434,-10.979643522429566,10.979487376703187,-1.6635823518832676e+27,1.663558693439877e+27
-4.3021366228442155e-14,6.270982915786917e-14,-2419821.970806735,9302736.765369559,-6.316658922460873,7.893145405765105,-9.570695337061929e+26,1.1959311220856219e+27
-4.941231050679719e-14,8.024074235276958e-14,-3542827.368623712,10790327.121702723,-3.565788578328523,5.197649729966747,-5.4027099671644284e+26,7.87522686358598e+26
-5.6309067346652946e-14,9.879397848307569e-14,-4192634.645699839,11778182.072101787,-2.1525154599413936,3.4954738335450086,-3.261387060517263e+26,5.296172475068195e+26
-6.356977964982648e-14,1.1807036941178128e-13,-4595870.839243564,12453714.350173619,-1.3959630432433865,2.4492102134871114,-2.115095520065737e+26,3.710924565889563e+26
-7.110329749728836e-14,1.3789015845803156e-13,-4863713.067636326,12934873.355058478,-0.9610485666129223,1.784989029499654,-1.456134191837761e+26,2.7045288325752332e+26
-7.8844813139428e-14,1.5813043662499397e-13,-5051800.363705267,13290679.115531798,-0.6941196387937647,1.3461016626655604,-1.051696422414795e+26,2.0395479737356977e+26
-8.674795047286034e-14,1.787034602749242e-13,-5189880.990607119,13562383.001923306,-0.5209898779425332,1.0448925375797113,-7.893786029432321e+25,1.583170511484411e+26
-9.477914783118077e-14,1.9954490758387103e-13,-5294928.176992872,13775560.417603226,-0.4034253622520914,0.8310687204035839,-6.112505488668052e+25,1.259195030914521e+26
-1.0291369964313482e-13,2.206065794549312e-13,-5377190.75013769,13946674.953388203,-0.3204852814223162,0.6747391945042166,-4.855837597307821e+25,1.0223321128851767e+26
-1.1113307210921472e-13,2.418516427204791e-13,-5443162.862073457,14086700.601898866,-0.260069303612425,0.5574865123896098,-3.940443994127651e+25,8.446765339236512e+25
-1.1942309909101078e-13,2.6325144542974794e-13,-5497131.324574745,14203184.399468297,-0.21485316639890958,0.4675709062213911,-3.2553510060440848e+25,7.084407670021077e+25
-1.2777276111617391e-13,2.847833383338872e-13,-5542026.217563424,14301462.211901028,-0.18022189190146412,0.39727384318663517,-2.7306347257797595e+25,6.019300654342957e+25
-1.3617334731545417e-13,3.064291552130549e-13,-5579911.039076819,14385399.831204215,-0.1531645374164122,0.34137720668141713,-2.3206748093395787e+25,5.172381919415411e+25
-1.4461787044013727e-13,3.281741331120769e-13,-5612277.02205202,14457859.068285702,-0.13165611276535238,0.2962640796356712,-1.994789587353824e+25,4.488849691449564e+25
-1.5310065134837018e-13,3.5000613174815794e-13,-5640226.350250119,14520999.384701503,-0.1142979753779208,0.2593707048233801,-1.7317875057260727e+25,3.929859163990608e+25
-1.6161701878676237e-13,3.7191505998602214e-13,-5664589.885968525,14576478.214846192,-0.10010113894404803,0.22884300044987435,-1.5166839233946672e+25,3.4673181886344597e+25
-1.7016308892942297e-13,3.938924480521007e-13,-5686004.9656815985,14625587.157637594,-0.08835156253099681,0.20331569611446068,-1.3386600383484366e+25,3.080540850219101e+25
-1.7873560100848295e-13,4.159311239614976e-13,-5704968.102419034,14669346.54988795,-0.07852404075842899,0.18176695568866347,-1.1897581933095301e+25,2.7540447831615676e+25
-1.8733179302319132e-13,4.3802496558219186e-13,-5721871.490022424,14708572.411255823,-0.07022577015140165,0.16342062434863208,-1.0640268204757826e+25,2.476070065888365e+25
-1.9594930651923327e-13,4.601687083674639e-13,-5737028.796207737,14743924.664687224,-0.0631585242793571,0.14767920584768301,-9.569473375660167e+24,2.237563724964894e+25
-2.0458611275276435e-13,4.823577945966315e-13,-5750693.717322313,14775942.424841134,-0.05709278152891098,0.13407708350672845,-8.650421443774391e+24,2.031470962223158e+25
-2.1324045479393288e-13,5.045882539441073e-13,-5763073.544696181,14805070.199433878,-0.05184969936112836,0.12224733290942455,-7.856015054716418e+24,1.8522323168094628e+25
-2.2191080165781832e-13,5.268566079626483e-13,-5774339.231299264,14831677.603317931,-0.047288342746002056,0.11189782127023754,-7.164900416060918e+24,1.6954215343975385e+25
-2.305958116151259e-13,5.491597930149807e-13,-5784632.962893,14856074.373380302,-0.043296495278868766,0.10279375527861755,-6.560075042252843e+24,1.5574811405851144e+25
-2.3929430258413555e-13,5.714950975780878e-13,-5794073.923058067,14878521.933516996,-0.03978395417372998,0.09474477392428896,-6.027871844504543e+24,1.4355268776407417e+25
-2.480052280395527e-13,5.938601108483224e-13,-5802762.73306138,14899242.395240726,-0.03667757385541502,0.08759528924454042,-5.557208159911367e+24,1.3272013521900064e+25
-2.567276572594379e-13,6.162526803087724e-13,-5810784.907136856,14918425.630158624,-0.03391755800877222,0.08121717803296274,-5.139023940723064e+24,1.2305633035297385e+25
-2.654607590128787e-13,6.386708764616913e-13,-5818213.567671666,14936234.877169412,-0.03145465469755593,0.07550419566196996,-4.765856772356959e+24,1.1440029645753025e+25
-2.7420378799882873e-13,6.611129633325805e-13,-5825111.598054077,14952811.22502514,-0.029248012667660854,0.07036766546844449,-4.431517070857705e+24,1.0661767495218862e+25
-2.8295607350145796e-13,6.835773736565496e-13,-5831533.363949683,14968277.223691337,-0.027263527213675417,0.06573312279408919,-4.1308374566174875e+24,9.959564059710483e+24
-2.917170098439931e-13,7.060626878885744e-13,-5837526.100264299,14982739.814971728,-0.02547255235495019,0.06153768047334772,-3.8594776295379075e+24,9.32389098081026e+24
-3.004860483116348e-13,7.285676163562806e-13,-5843131.036872296,14996292.726901885,-0.02385088979542447,0.05772794451203764,-3.61377118112492e+24,8.746658259399643e+24
-3.09262690282035e-13,7.510909840106066e-13,-5848384.318547628,15009018.442522753,-0.022377988947496676,0.05425835295160212,-3.390604385984345e+24,8.220962568424564e+24
-3.1804648135426376e-13,7.736317173361112e-13,-5853317.761529686,15020989.828410095,-0.021036309294617386,0.05108984285701104,-3.1873195900935434e+24,7.74088528136531e+24
-3.268370063080159e-13,7.961888330661185e-13,-5857959.479475525,15032271.489377204,-0.01981080862876902,0.048188773653559426,-3.001637671025609e+24,7.301329341448398e+24
-3.356338847568131e-13,8.187614284137322e-13,-5862334.404278178,15042920.901403029,-0.018688529634574336,0.045526052173695916,-2.8315953991779296e+24,6.89788669298423e+24
-3.444367673842192e-13,8.413486725820601e-13,-5866464.721721333,15052989.36386549,-0.017658263865196557,0.04307641749595857,-2.6754945250297816e+24,6.526729923630087e+24
-3.5324533267215876e-13,8.639497993587967e-13,-5870370.237732611,15062522.803715091,-0.016710277034041873,0.040817853180542166,-2.531860156673011e+24,6.184523209173056e+24
-3.6205928404647345e-13,8.865641006339236e-13,-5874068.687758969,15071562.457677724,-0.015836083197909984,0.0387311016906236,-2.3994065451378765e+24,5.868348741003576e+24
-3.708783473777525e-13,9.091909207064569e-13,-5877575.999277156,15080145.453466428,-0.015028258162135617,0.03679926124998357,-2.2770088124447905e+24,5.575645643936904e+24
-3.7970226878590515e-13,9.318296512682592e-13,-5880906.5154924365,15088305.306968536,-0.014280284532330158,0.03500744956856508,-2.1636794745954786e+24,5.304159025540164e+24
-3.885308127054231e-13,9.544797269709667e-13,-5884073.186739348,15096072.34920249,-0.01358642244048684,0.03334252209022371,-2.0585488546192183e+24,5.051897286397532e+24
-3.973637601752065e-13,9.771406214968893e-13,-5887087.734881323,15103474.094316922,-0.012941601208890425,0.031792834916787666,-1.9608486680137008e+24,4.8170961995132825e+24
-4.062009073225157e-13,9.998118440669465e-13,-5889960.795038454,15110535.557888564,-0.01234132817386907,0.03034804451365751,-1.8698982081619803e+24,4.5981885626753805e+24
-4.150420640152985e-13,1.0224929363288125e-12,-5892702.038199082,15117279.533155333,-0.011781611639655612,0.028998937833912976,-1.7850926726750927e+24,4.3937784596837843e+24
-4.2388705266102886e-13,1.045183469576848e-12,-5895320.277649052,15123726.831512269,-0.011258895520082806,0.02773728770711887,-1.705893260618607e+24,4.202619349563465e+24
-4.327357071334223e-13,1.0678830422624197e-12,-5897823.561650159,15129896.492535662,-0.010770003689653694,0.026555729298741587,-1.6318187408566203e+24,4.02359534829418e+24
-4.4158787181109295e-13,1.0905912777590884e-12,-5900219.254391448,15135805.967934573,-0.010312092433685938,0.025447654211674598,-1.5624382475281723e+24,3.8557051835870606e+24
-4.5044340071447815e-13,1.1133078223520991e-12,-5902514.106904475,15141471.283119433,-0.009882609680954085,0.024407119415083774,-1.4973651031748614e+24,3.6980483962248145e+24
-4.593021567292609e-13,1.1360323434257857e-12,-5904714.319361145,15146907.17949388,-0.00947925993774218,0.02342876868005591,-1.436251505718512e+24,3.549813436372108e+24
-4.681640109061278e-13,1.1587645278260428e-12,-5906825.595948605,15152127.240094045,-0.009099974031904448,0.022507764601401466,-1.3787839442279468e+24,3.410267363848707e+24
-4.770288418280608e-13,1.181504080378027e-12,-5908853.193330527,15157144.00079987,-0.008742882929010317,0.021639729609853286,-1.3246792316682299e+24,3.2787469105838314e+24
-4.858965350375223e-13,1.2042507225418172e-12,-5910801.96355057,15161969.049010532,-0.008406295007369337,0.020820694643969143,-1.2736810617226268e+24,3.1546507036316885e+24
-4.947669825168758e-13,1.2270041911909561e-12,-5912676.392106011,15166613.111398274,-0.008088676280501257,0.020047054368165618,-1.22555701219716e+24,3.0374324800250934e+24
-5.036400822162337e-13,1.2497642375006793e-12,-5914480.631812771,15171086.132122139,-0.007788633138990722,0.019315528001839583,-1.1800959301501095e+24,2.926595151793876e+24
-5.125157376236455e-13,1.272530625934256e-12,-5916218.532993591,15175397.342687333,-0.007504897252231763,0.018623124971871133,-1.1371056442775398e+24,2.821685601798657e+24
-5.21393857373164e-13,1.2953031333172642e-12,-5917893.670445795,15179555.324470822,-0.007236312327163092,0.01796711472283145,-1.0964109586610745e+24,2.722290109519917e+24
-5.302743548868649e-13,1.3180815479908284e-12,-5919509.367581607,15183568.064793942,-0.006981822467976941,0.017345000120634096,-1.0578518890874153e+24,2.628030321308196e+24
-5.391571480473605e-13,1.3408656690358962e-12,-5921068.718080212,15187443.007304234,-0.006740461919752165,0.016754493969929368,-1.0212821090533582e+24,2.538559692413541e+24
-5.480421588977508e-13,1.3636553055615416e-12,-5922574.6053451225,15191187.097327666,-0.0065113460114598065,0.016193498236275514,-9.865675774939101e+23,2.453560338829623e+24
-5.569293133663077e-13,1.386450276051072e-12,-5924029.720021536,15194806.822766274,-0.006293663140976951,0.015660085623470377,-9.535853243904471e+23,2.37274024598036e+24
-5.658185410134905e-13,1.4092504077604123e-12,-5925436.575795233,15198308.251042392,-0.006086667667560388,0.015152483206373735,-9.22222373872786e+23,2.2958307888445054e+24
-5.747097747991604e-13,1.4320555361638409e-12,-5926797.523666142,15201697.062527401,-0.0058896735964353315,0.014669057861704698,-8.923747873386866e+23,2.2225845245007118e+24
-5.836029508680941e-13,1.4548655044426886e-12,-5928114.764865323,15204978.580838388,-0.0057020489563645435,0.01420830327497507,-8.639468115703854e+23,2.1527732234810713e+24
-5.924980083521019e-13,1.4776801630130738e-12,-5929390.362563181,15208157.80033918,-0.005523210784784632,0.013768828331995843,-8.368501189067625e+23,2.086186110908461e+24
-6.013948891872336e-13,1.500499369089161e-12,-5930626.252498581,15211239.411141582,-0.00535262064674229,0.01334934672915383,-8.110031282942864e+23,2.022628292296035e+24
-6.102935379447174e-13,1.523322986278791e-12,-5931824.2526429575,15214227.821867466,-0.005189780623773522,0.0129486676586287,-7.863303975414428e+23,1.9619193422164698e+24
-6.191939016744144e-13,1.5461508842086535e-12,-5932986.0719999,15217127.1804018,-0.005034229717323776,0.01256568744350977,-7.627620783823904e+23,1.9038920368954196e+24
-6.280959297596961e-13,1.5689829381764553e-12,-5934113.318628975,15219941.39284014,-0.004885540618537344,0.012199382013876403,-7.402334270511127e+23,1.8483912142236976e+24
-6.369995737827599e-13,1.5918190288277876e-12,-5935207.506972268,15222674.140810892,-0.004743316802442895,0.011848800128741347,-7.186843640064993e+23,1.795272746778992e+24
-6.459047873994992e-13,1.6146590418556263e-12,-5936270.064553215,15225328.897332417,-0.004607189909887833,0.011513057260669268,-6.980590772557322e+23,1.7444026152529193e+24
-6.548115262231254e-13,1.6375028677205894e-12,-5937302.338109471,15227908.941347284,-0.004476817385160401,0.011191330070162146,-6.783056644182426e+23,1.6956560712366888e+24
-6.6371974771582e-13,1.6603504013902601e-12,-5938305.599214739,15230417.37106046,-0.004351880341196792,0.0108828514057927,-6.593758092722412e+23,1.6489168796655608e+24
-6.726294110877632e-13,1.6832015420960415e-12,-5939281.049438477,15232857.116194502,-0.004232081627693483,0.010586905773769152,-6.41224489044467e+23,1.6040766323892655e+24
-6.81540477202944e-13,1.706056193106147e-12,-5940229.8250871245,15235230.949262805,-0.004117144080411794,0.010302825227302635,-6.238097091533021e+23,1.561034125348884e+24
-6.904529084912157e-13,1.7289142615134651e-12,-5941153.001565869,15237541.495951358,-0.0040068089325376866,0.01002998563196625,-6.070922625057101e+23,1.5196947927221592e+24
-6.993666688661047e-13,1.751775658037142e-12,-5942051.597395839,15239791.244690025,-0.003900834371201095,0.009767803268305427,-5.9103551078804474e+23,1.479970192167489e+24
-7.082817236479315e-13,1.7746402968368375e-12,-5942926.577918045,15241982.555486126,-0.003798994224212902,0.009515731737387057,-5.7560518548680333e+23,1.441777535967736e+24
-7.171980394918333e-13,1.797508095338694e-12,-5943778.858712136,15244117.668085698,-0.003701076763783715,0.0092732591388478,-5.607692066338962e+23,1.405039263461788e+24
-7.261155843203237e-13,1.8203789740721475e-12,-5944609.308755234,15246198.709521294,-0.003606883615481351,0.009039905494395949,-5.464975174971744e+23,1.369682650666053e+24
-7.350343272600463e-13,1.8432528565167783e-12,-5945418.753343583,15248227.701099373,-0.003516228761992031,0.008815220392700326,-5.327619336351562e+23,1.3356394534394432e+24
-7.439542385824178e-13,1.866129668958476e-12,-5946207.976797491,15250206.56487516,-0.0034289376323986646,0.008598780834218967,-5.195360049088886e+23,1.3028455809422676e+24
-7.528752896478755e-13,1.889009340354242e-12,-5946977.724968071,15252137.129658233,-0.0033448462686994263,0.008390189256826922,-5.0679488919688275e+23,1.2712407964889275e+24
-7.617974528534696e-13,1.91189180220502e-12,-5947728.707562489,15254021.136588002,-0.0032638005621792063,0.008189071725137267,-4.945152366938191e+23,1.2407684432026163e+24
